"NO_ERROR","Nothing wrong"
"P0078","Exhaust Valve Control Circuit (Bank 2)"
"P0079","Exhaust Valve Control Circuit Low (Bank 2)"
"P007E","Turbocharger (TC) intercooler temperature sensor, bank 1"
"P007F","Turbocharger (TC) intercooler temperature sensor, bank 1/2"
"P0133","O2 Sensor Circuit Slow Response (Bank 2 Sensor 1)"
"P1004","VVT Control Signal: Low Input"
"P18D0","Unknown citroen DTC_CODE_1"
"P18E0","Unknown citroen DTC_CODE_2"
"P18F0","Unknown citroen DTC_CODE_3"
"P2004","Intake Manifold Runner Control Stuck Open (Bank 1)"
"P2036","Exhaust Gas Temperature Sensor Circuit High (Bank 2 Sensor 2)"
"P3000","Rail Pressure Control: High Voltage Circuit"
"B0004","Control of deployment of the driver's knee amplifier (malfunction)"
"U1004","SCP (J1850) Invalid or Missing Data for EEC Programming "
"C0300","RF TCS SOUMTR #1 CIRCUIT MALFUNCTION"
"C1004","Unknown citroen DTC_CODE_4"